Columna,ConValor,PctUso,Distintos,Muestra
nLin,9089,100,1000,"285448 | 285449 | 285450"
Tipo,9089,100,10,"1 | 5 | 6"
TipoCorredera,9089,100,1,"R"
Estructura,8500,93.5,393,"02H | 02V | 03H"
Id,8291,91.2,66,"1 | 2 | 3"
idPerAdDe,7926,87.2,1,"-1"
idPerAdIz,7922,87.2,1,"-1"
idPerAdInf,7893,86.8,1,"-1"
idPerAdSup,7848,86.3,1,"-1"
idPerAdBat,7580,83.4,1,"-1"
ContenidoEn,6205,68.3,53,"-1 | 2 | 3"
idTrav,5848,64.3,40,"1 | 4 | 7"
altManilla,5176,56.9,1,"-1"
TipoCorte1,4440,48.9,3,"1 | 2 | 3"
TipoCorte2,4436,48.8,3,"1 | 2 | 3"
TipoCorte3,4436,48.8,3,"1 | 2 | 3"
TipoCorte4,4436,48.8,3,"1 | 2 | 3"
moVP,3837,42.2,3,"V | B | P"
TipoDoc,3492,38.4,3,"VPRES | VALB | VFAC"
nDoc,3492,38.4,203,"771 | 772 | 188"
nLinEstr,3492,38.4,405,"276237 | 276323 | 276324"
TipoHuecoV,3106,34.2,3,"3 | 4 | 5"
posHueco,2688,29.6,15,"1 | 2 | 3"
TipoTrav,2457,27,6,"HA | VI | VD"
bPerSup,2349,25.8,1,"True"
bPerInf,2346,25.8,1,"True"
bPerDe,2330,25.6,1,"True"
bPerIz,2328,25.6,1,"True"
VidJunqSN,1800,19.8,1,"True"
TipoHuecoH,1744,19.2,3,"1 | 2 | 5"
TipoHoja,1600,17.6,68,"1 | 2 | 7"
nTrav,1570,17.3,14,"1 | 2 | 3"
travMH,1570,17.3,2,"M | H"
bVAG,1524,16.8,1,"True"
idHoja,1404,15.4,20,"2 | 3 | 5"
SeparacionLamas,1381,15.2,9,"60 | 40 | -1"
nHoja,1242,13.7,15,"1 | 2 | 3"
TravVP,1207,13.3,2,"V | P"
PlHojasY,1036,11.4,15,"1 | 2 | 3"
OperacionEqui,955,10.5,14,"2 | 3 | 4"
PlHojasX,934,10.3,7,"1 | 2 | 3"
bInvisible,839,9.2,1,"True"
lstAccDis,804,8.8,7,"MI; | CH; | CM;"
TipoMarco,791,8.7,5,"NOR | PTA | SOL"
Cota,629,6.9,41,"600 | 300 | 700"
TipoCota,615,6.8,2,"1 | 2"
barrAca,503,5.5,8,"D | I | V"
nombreDA,358,3.9,20,"travesaño | VENTANA SUPERIOR | FIJO IZQUIERDO"
Simbolo,346,3.8,15,"TR | VS | FI"
TipoLama,262,2.9,2,"R | F"
TipoCurva,244,2.7,4,"8 | 1 | 5"
posCurva,204,2.2,2,"1 | 2"
c2,190,2.1,29,"600 | 570 | 515"
radio,190,2.1,27,"600 | 570 | 515"
Hc,167,1.8,8,"-30 | -85 | -110"
c1,166,1.8,32,"600 | 570 | 515"
barrVert,123,1.4,6,"1 | 2 | 3"
barrArtic,117,1.3,1,"BI"
barrHoriz,115,1.3,5,"1 | 2 | 4"
Vidrio,102,1.1,14,"V202 | VGS418AL33I | VGS416AL44M"
CompHojaInf,75,0.8,2,"1 | 2"
Hd,57,0.6,24,"600 | 570,0001 | -9,27051"
Ld,55,0.6,22,"1200 | 1140 | 800"
Hi,26,0.3,16,"600 | 570 | 200"
Li,26,0.3,14,"1200 | 1140 | 800"
bApertExt,25,0.3,1,"True"
bZocaloAd,3,0,1,"True"
bandIzDe,2,0,1,"DE"
TravMedAbsMRel,0,0,0,""
bZocaloOPC,0,0,0,""
PerfilAdSN,0,0,0,""
PerAdSup,0,0,0,""
PerAdInf,0,0,0,""
PerAdIz,0,0,0,""
PerAdDe,0,0,0,""
PerAdBat,0,0,0,""
barrDtoAncho,0,0,0,""
barrDtoAlto,0,0,0,""
barrDtoIniX,0,0,0,""
barrDtoIniY,0,0,0,""
bPerSupAd,0,0,0,""